Timestamp,Shot#,Version,Filename,Shot start frame,Shot end frame,Visual Concept,Original Prompt,LLM Prompt
2026-01-24 08:13:12,1,1,Gemini_Generated_Image_fni1hofni1hofni1.png,0,48,Intro/Atmosphere,"A wide angle landscape shot of a rain-slicked street in a dense, semi-realistic cyberpunk Japanese city at night. Neon kanji signs reflect in puddles. Steam rises from vents.","A wide-angle night shot stretches across a rain-slicked asphalt avenue in a towering cyberpunk metropolis, its silhouette defined by jagged neon canopies and steel-and-glass spires piercing the smog-choked sky. The ambient glow is saturated with deep indigo and violet hues—every surface bathed in an otherworldly purple wash that bleeds from neon signs into reflections on wet pavement. Towering storefronts display glowing kanji characters, their bold strokes fractured by rainwater puddles that mirror them like liquid mirrors: distorted glyphs shimmering in rippling pools beneath flickering lights. Steam coils lazily upward from industrial vents embedded along the sidewalk, catching violet luminescence and appearing as ghostly tendrils suspended between neon pillars. Reflections blur with motion—raindrops streak vertically down glass facades and wet metal grates while distant streetlights cast elongated halos that bleed into mist. The air feels dense, saturated with humidity and electric charge; the ground glows faintly beneath feet from embedded LED strips pulsing in sync with unseen city rhythms. No human forms are visible—only architecture and atmosphere, breathing together under a sky bruised violet-blue, where the glow of digital signage merges seamlessly into wet pavement’s mirror surface, rendering the entire scene as one seamless cybernetic dreamscape."
2026-01-24 08:14:07,1,2,Gemini_Generated_Image_t5skzjt5skzjt5sk.png,0,48,Intro/Atmosphere,"A wide angle landscape shot of a rain-slicked street in a dense, semi-realistic cyberpunk Japanese city at night. Neon kanji signs reflect in puddles. Steam rises from vents.","A wide-angle night shot of a rain-slicked alleyway in a dense cyberpunk metropolis, where towering buildings with glowing neon kanji signs cast fractured reflections across ankle-deep puddles. The dominant color palette is saturated purple—deep violet hues bleed from the sky’s overcast glow into the wet pavement and glass facades of high-rise structures. Steam curls like ghostly tendrils from industrial vents along the sidewalk, catching the ambient neon in shimmering lavender highlights as it rises into the smog-veiled air. Streetlamps with chromatic filaments cast soft magenta halos on puddles that mirror distorted signs—characters like “酒” (sake) and “寿司” (sushi) flicker slightly, warped by raindrops and motion blur. The wet asphalt mirrors the city’s vertical glow in fractured, elongated streaks of pink, cyan, and indigo. Distant skyscrapers pierce the haze with sharp, angular edges softened by atmospheric perspective. A single lone figure walks away into the frame’s right edge, their silhouette barely visible against a backdrop of glowing holographic billboards pulsing faintly in purple tones. No text or overlays—only ambient light, motion, and color shaping the scene’s immersive, dreamlike cyberpunk atmosphere."
2026-01-24 08:15:04,1,3,Gemini_Generated_Image_ytl0hmytl0hmytl0.png,0,48,Intro/Atmosphere,"A wide angle landscape shot of a rain-slicked street in a dense, semi-realistic cyberpunk Japanese city at night. Neon kanji signs reflect in puddles. Steam rises from vents.","A wide-angle, low-angle shot captures a rain-slicked alleyway in a towering cyberpunk metropolis at night, its neon glow bleeding across wet pavement like liquid mercury. Towering steel-and-glass structures loom on either side, their surfaces etched with glowing kanji characters—“風” (kaze), “夢” (yume), “街” (machi)—casting fractured reflections in the shallow puddles that mirror the sky’s bruised violet hue. Steam curls from industrial vents embedded in the sidewalk, translucent and ghostly against the saturated purple ambient light, diffusing into the air like smoke from a forgotten ritual. The street is devoid of motion—no cars, no pedestrians—but the wet surface gleams with every neon pulse, distorting colors into dreamlike halos: violet, magenta, indigo bleeding across asphalt like ink in water. Raindrops hang suspended above puddles, catching and refracting the city’s glow before falling, each droplet a miniature prism of electric twilight. The sky is not black but a deep, velvety purple, punctuated by distant holographic signs flickering like dying stars. Every surface—glass, metal, concrete—is coated with rain, rendering everything hazy yet hyper-real, as if the world itself is breathing under its own neon breath."
2026-01-24 08:15:59,1,4,Gemini_Generated_Image_feh4c4feh4c4feh4.png,0,48,Intro/Atmosphere,"A wide angle landscape shot of a rain-slicked street in a dense, semi-realistic cyberpunk Japanese city at night. Neon kanji signs reflect in puddles. Steam rises from vents.","A wide-angle night shot of a rain-drenched alleyway in a towering cyberpunk metropolis, its architecture a fusion of traditional Japanese timber motifs and sleek chrome futurism. Neon kanji glyphs — glowing magenta, violet, and electric indigo — flicker across towering signage suspended above the street, their reflections fractured and shimmering in oily puddles that mirror the sky like broken stained glass. Steam coils lazily from grated vents along the sidewalk, catching the ambient glow and casting translucent veils of vapor into the air, distorting the edges of glowing signs. The pavement is slick with rain, glistening under a canopy of artificial light — crimson lanterns hang low over doorways, their warmth bleeding into the cool purple haze that dominates the entire frame. Buildings rise like jagged teeth in the distance, their windows pulsing with internal hues of violet and lavender as if breathing rhythmically with the city’s heartbeat. Reflections ripple across puddles, blurring the line between reality and digital mirage — a lone figure walks away into the mist, their silhouette barely visible beneath the neon glow, their footsteps echoing in the silence punctuated only by distant raindrops hitting metal surfaces. The entire scene is saturated with deep violet tones, from the sky to the shadows, with selective highlights that burn crimson and cyan against the cool backdrop — a chromatic ballet where light and water dance under an eternal cybernetic twilight."
2026-01-24 08:16:51,2,1,Gemini_Generated_Image_4w8lnz4w8lnz4w8l.png,49,97,Intro/Vehicle Detail,"Close up on the rear fender of a parked, complex jet-powered motorcycle with visible jet turbine exhaust nozzles. The word 'BROOM' is hand-painted roughly in white on the fender. The metal looks used, greasy, weathered, and industrial.","A single frame at night, bathed in deep violet-purple hues with subtle magenta undertones bleeding through shadows, captures a stationary jet-powered motorcycle parked beneath neon-drenched city signage. The rear fender, curved and battered from years of urban grit, dominates the composition — its surface streaked with oil, rust, and grime that catch stray reflections like fractured glass under flickering sodium lights. Rivets glisten faintly in the low glow, hinting at reinforced construction meant to withstand both speed and decay.

Embedded into the fender’s right flank are two exposed jet turbine exhaust nozzles — sleek, angular, metallic chrome with heat-distorted edges glowing a soft orange-pink where hot gases linger just beyond. Tiny wisps of condensation curl from their muzzles like ghostly breath against the cool night air. The pipes cast sharp, elongated shadows across the fender’s surface, emphasizing their industrial geometry.

Hand-painted in thick, uneven strokes across the rear edge is the word “BROOM” — rendered not with precision but with raw immediacy: brushstrokes bleed into one another, paint flaking at corners, some letters smudged by rain or oil. The white is dulled and slightly translucent, allowing the purple wash to seep beneath it like a stain on worn leather.

The background dissolves into blurred vertical neon streaks — kanji characters in electric blue and hot pink bleed vertically down glowing glass facades of a Tokyo alleyway bar. A lone streetlamp casts a single pool of warm yellow light onto the bike’s rear wheel, where tread marks from gravel roads are visible beneath layers of grime.

No reflections on chrome or paint suggest moisture — but the air itself feels damp and dense with suspended particles, catching the neon like dust motes in a slow-motion storm. The entire frame is saturated with cyberpunk grit: polished metal fused with corrosion, mechanical elegance marred by human touch. There’s no heroism here — just the quiet menace of machinery left to weather the night under Tokyo’s purple sky."
2026-01-24 08:17:43,2,2,Gemini_Generated_Image_7r99tt7r99tt7r99.png,49,97,Intro/Vehicle Detail,"Close up on the rear fender of a parked, complex jet-powered motorcycle with visible jet turbine exhaust nozzles. The word 'BROOM' is hand-painted roughly in white on the fender. The metal looks used, greasy, weathered, and industrial.","The frame is bathed in a deep, saturated violet hue that bleeds from horizon to fender, casting an eerie glow over every surface. The rear fender of the motorcycle is angled slightly upward, its steel warped by heat and time, streaked with grime that glows faintly under the neon wash — oil-slicked rivets catch fractured reflections like broken mirrors. Two jet turbine exhaust nozzles protrude from beneath the fender, their ceramic linings cracked at the edges, trailing wisps of cooled plasma in ghost-white arcs against the darkness, now tinged with violet as they dissipate into the night air. The word “BROOM,” hand-painted in thick, uneven white brushstrokes across the center of the fender, looks hastily slapped on — its letters smudged by grease and partially corroded from rain or exhaust residue, yet still legible against the dark metal. Rust blooms like veins beneath the paint, glowing faintly under the ambient glow of nearby streetlamps that cast sharp halos in shades of magenta and indigo. The background is blurred but unmistakably urban — a towering neon sign flickers just out of focus behind the bike, its light reflecting off rain-drenched pavement below, where puddles mirror the sky’s violet hue and the distant glow of Tokyo’s cyberpunk skyline. The motorcycle’s suspension arm peeks from beneath the fender, welded with brutalist precision, coated in a layer of oxidized chrome that glints like shattered glass under the violet light. Every bolt, every seam, every dent tells a story — industrial decay fused with mechanical power, standing still yet ready to roar into the neon-lit night."
2026-01-24 08:18:33,2,3,Gemini_Generated_Image_b98ctsb98ctsb98c.png,49,97,Intro/Vehicle Detail,"Close up on the rear fender of a parked, complex jet-powered motorcycle with visible jet turbine exhaust nozzles. The word 'BROOM' is hand-painted roughly in white on the fender. The metal looks used, greasy, weathered, and industrial.","The rear fender of a parked jet-powered motorcycle dominates the frame, its weathered steel surface etched with streaks of oil, rust, and scorch marks from repeated high-temperature operation. Jagged rivets and bolt heads protrude at irregular angles, some corroded to near invisibility beneath layers of grime. Two exposed turbine exhaust nozzles—barely larger than the fender itself—gape symmetrically on either side, their edges scarred by heat discoloration that bleeds into deep violet undertones under ambient light. The metallic sheen is fractured by smudges of dried grease and faint splatters from past engine tests. A roughly hand-painted white “BROOM” in sloppy block letters lingers across the center-right of the fender, its edges blurred by chipped enamel and soot accumulation. Behind the bike, neon glow bleeds through a rain-slicked alleyway, casting distorted reflections on oily puddles pooling beneath the exhausts; deep purple and magenta light from overhead signage washes over everything like an artificial dusk. The air is thick with particulate haze—fine dust and vapor rising faintly from the still-warm metal—as if the machine just cooled down after a silent run through Tokyo’s neon underbelly. Every surface bears the signature of urban decay fused with mechanical ingenuity: rusted bolts, patched welds, and a faint, ghostly sheen where heat once pooled. The camera is tightly framed from behind, emphasizing the fender as both armor and graffiti—an industrial relic left by someone who doesn’t care about perfection, only speed and survival."
2026-01-24 08:19:32,2,4,Gemini_Generated_Image_g5opjbg5opjbg5op.png,49,97,Intro/Vehicle Detail,"Close up on the rear fender of a parked, complex jet-powered motorcycle with visible jet turbine exhaust nozzles. The word 'BROOM' is hand-painted roughly in white on the fender. The metal looks used, greasy, weathered, and industrial.","A single-frame close-up shot under neon-drenched Tokyo night, capturing the rear fender of a parked, heavily modified jet-powered motorcycle. The frame is tightly cropped around the fender’s curvature, emphasizing its battered industrial texture — rivets rusted in place, dents from past collisions, and thick layers of oil-slick grime that catch the ambient glow. The metal has been scorched by repeated high-heat exposure near two exposed jet turbine exhaust nozzles, their edges glowing faintly amber-orange beneath a thin layer of soot, with subtle puffs of steam or exhaust drifting upward into the smoky air. Etched crudely across the fender in thick white paint is the word “BROOM,” its strokes uneven and splattered as if applied by a mechanic’s gloved hand under harsh work lights — some letters partially obscured by drips and grime, adding to the raw, lived-in feel. The color palette leans into deep violet hues: shadows cast by neon signs bleed through with magenta undertones, while highlights on metal edges shimmer with electric lavender reflections. Ambient light sources flicker just beyond focus—glowing reds from nearby vending machines and distant holographic billboards cast a hazy purple glow across the surface, making the grime appear almost luminescent. The entire frame feels saturated in cyberpunk Japan’s signature nocturnal aesthetic — gritty, layered with technology and decay, yet visually striking against the dark city backdrop."
2026-01-24 08:20:23,3,1,Gemini_Generated_Image_7j2g677j2g677j2g.png,98,146,Intro/Character Detail,"Close up on a pair of traditional Japanese wooden geta footwear worn by an attractive young Japanese woman with long dark hair, wearing tight black leather pants, impatiently tapping one geta on the wet asphalt next to her parked jet-powered motorcycle.","The frame is bathed in a deep, saturated purple hue that bleeds from horizon to pavement, casting an otherworldly glow over neon-lit streets of a futuristic Tokyo night. A close-up shot focuses tightly on the woman’s feet — one foot clad in a traditional wooden geta with weathered rice-straw sandals and a worn lacquered surface reflecting ambient city lights. The geta rests firmly atop wet asphalt, its reflection shimmering like liquid mercury under the glow of flickering holographic signs. Her other foot is slightly lifted, impatiently tapping the heel against the pavement in sync with an unseen rhythm — each tap sending ripples through puddles that mirror streaks of neon magenta and electric blue above.

She wears form-fitting black leather pants that cling to her thighs, subtly catching glints from street-level holograms. The texture is smooth yet rugged, with faint scuff marks near the hem, hinting at recent movement or battle. Her long, dark hair spills down in soft waves over one shoulder — strands glistening wetly, partially obscuring a glimpse of her profile as she leans against her jet-powered motorcycle parked just out of focus behind her. The bike’s chrome accents glint beneath low-angle purple light, its engine humming silently under the city’s pulse.

The asphalt is slick with rain, mirroring towering skyscrapers draped in LED tapestries and floating ad-hoc billboards displaying fragmented Japanese glyphs that fade into digital static. Reflections blur slightly — a deliberate effect to enhance the cyberpunk atmosphere — while the purple tone permeates every shadowed crevice: under her arches, behind the wooden soles, around the edges of the geta’s footrests.

There is no movement in the background; all eyes are drawn to the tapping foot and the contrast between ancient footwear and advanced machinery. The wetness of the ground enhances this tension — traditional meets futuristic, stillness beneath motion, patience before action. The entire scene feels suspended — a single frame that whispers rebellion, waiting for the beat to drop."
2026-01-24 08:21:14,3,2,Gemini_Generated_Image_nh5nvlnh5nvlnh5n.png,98,146,Intro/Character Detail,"Close up on a pair of traditional Japanese wooden geta footwear worn by an attractive young Japanese woman with long dark hair, wearing tight black leather pants, impatiently tapping one geta on the wet asphalt next to her parked jet-powered motorcycle.","A close-up shot at night in a neon-drenched Tokyo alleyway, rain-slicked asphalt reflecting fractured purples and electric blues from towering holographic billboards. A young Japanese woman with long, dark hair cascading over one shoulder stands poised beside her jet-powered motorcycle, its engine humming faintly beneath the ambient glow. Her tight black leather pants hug her legs, catching the light in glossy sheens that contrast sharply with the matte wet ground. The focus rests entirely on her feet — a pair of traditional wooden geta sandals, their lacquered surfaces gleaming under the neon haze. One foot taps rhythmically against the asphalt, a percussive pulse echoing the beat beneath the scene. Raindrops glisten along the edges of the wooden soles and treads, refracting light into prismatic streaks. The color grading is heavy with violet tones — deep plum shadows in the crevices between her toes, magenta highlights glinting off the geta’s grain, and a gradient of twilight purple bleeding across the frame from the horizon behind her. Reflections blur and warp around her, creating ghostly halos on the wet pavement. The motorcycle’s metallic curves are softly out of focus in the background — a futuristic silhouette against a cyberpunk skyline where neon signs bleed into one another like liquid ink. Her posture is tense, impatient, but poised — every motion deliberate in its stillness. The geta, ancient and traditional, juxtapose violently with the humming jetbike beside her — an elegantly surreal collision of eras, cultures, and technologies."
